leave_balance_id,employee_id,leave_type,total_days,used_days,remaining_days,year,updated_at
LB0001,EMP001,Annual Leave,25,4,21,2026,2026-09-07T14:45:00
LB0002,EMP001,Sick Leave,10,3,7,2026,2026-09-13T17:30:00
LB0003,EMP001,Personal Leave,6,2,4,2026,2026-09-23T12:00:00
LB0004,EMP001,Parental Leave,30,12,18,2026,2026-09-09T08:00:00
LB0005,EMP002,Annual Leave,30,11,19,2026,2026-09-16T12:15:00
LB0006,EMP002,Sick Leave,15,12,3,2026,2026-09-12T11:15:00
LB0007,EMP002,Personal Leave,6,2,4,2026,2026-09-22T10:00:00
LB0008,EMP002,Parental Leave,30,20,10,2026,2026-09-02T12:45:00
LB0009,EMP003,Annual Leave,20,9,11,2026,2026-09-12T10:00:00
LB0010,EMP003,Sick Leave,12,5,7,2026,2026-09-24T14:15:00
LB0011,EMP003,Personal Leave,3,1,2,2026,2026-09-18T13:30:00
LB0012,EMP003,Parental Leave,15,8,7,2026,2026-09-16T12:30:00
LB0013,EMP004,Annual Leave,20,7,13,2026,2026-09-03T10:15:00
LB0014,EMP004,Sick Leave,15,11,4,2026,2026-09-22T14:30:00
LB0015,EMP004,Personal Leave,3,3,0,2026,2026-09-01T12:00:00
LB0016,EMP004,Parental Leave,20,11,9,2026,2026-09-22T12:45:00
LB0017,EMP005,Annual Leave,25,1,24,2026,2026-09-22T11:45:00
LB0018,EMP005,Sick Leave,10,9,1,2026,2026-09-18T13:15:00
LB0019,EMP005,Personal Leave,6,0,6,2026,2026-09-21T15:30:00
LB0020,EMP005,Parental Leave,30,13,17,2026,2026-09-04T10:00:00
LB0021,EMP006,Annual Leave,20,4,16,2026,2026-09-16T09:00:00
LB0022,EMP006,Sick Leave,10,8,2,2026,2026-09-05T14:45:00
LB0023,EMP006,Personal Leave,5,5,0,2026,2026-09-24T16:45:00
LB0024,EMP006,Parental Leave,30,4,26,2026,2026-09-14T09:45:00
LB0025,EMP007,Annual Leave,30,6,24,2026,2026-09-09T08:30:00
LB0026,EMP007,Sick Leave,10,7,3,2026,2026-09-15T11:30:00
LB0027,EMP007,Personal Leave,3,2,1,2026,2026-09-18T13:00:00
LB0028,EMP007,Parental Leave,20,8,12,2026,2026-09-07T09:45:00
LB0029,EMP008,Annual Leave,20,10,10,2026,2026-09-07T17:00:00
LB0030,EMP008,Sick Leave,10,5,5,2026,2026-09-08T10:15:00
LB0031,EMP008,Personal Leave,3,1,2,2026,2026-09-19T11:15:00
LB0032,EMP008,Parental Leave,20,4,16,2026,2026-09-20T08:30:00
LB0033,EMP009,Annual Leave,22,2,20,2026,2026-09-18T12:15:00
LB0034,EMP009,Sick Leave,10,10,0,2026,2026-09-01T10:00:00
LB0035,EMP009,Personal Leave,5,1,4,2026,2026-09-19T13:00:00
LB0036,EMP009,Parental Leave,15,8,7,2026,2026-09-02T10:45:00
LB0037,EMP010,Annual Leave,30,1,29,2026,2026-09-24T09:45:00
LB0038,EMP010,Sick Leave,12,12,0,2026,2026-09-12T16:00:00
LB0039,EMP010,Personal Leave,5,4,1,2026,2026-09-08T17:00:00
LB0040,EMP010,Parental Leave,30,16,14,2026,2026-09-10T15:00:00
LB0041,EMP011,Annual Leave,20,7,13,2026,2026-09-13T14:00:00
LB0042,EMP011,Sick Leave,12,11,1,2026,2026-09-15T09:00:00
LB0043,EMP011,Personal Leave,5,4,1,2026,2026-09-05T09:15:00
LB0044,EMP011,Parental Leave,20,19,1,2026,2026-09-21T17:30:00
LB0045,EMP012,Annual Leave,25,9,16,2026,2026-09-17T12:45:00
LB0046,EMP012,Sick Leave,15,9,6,2026,2026-09-14T09:00:00
LB0047,EMP012,Personal Leave,6,5,1,2026,2026-09-18T11:45:00
LB0048,EMP012,Parental Leave,20,7,13,2026,2026-09-14T13:45:00
LB0049,EMP013,Annual Leave,25,6,19,2026,2026-09-24T09:30:00
LB0050,EMP013,Sick Leave,12,5,7,2026,2026-09-22T12:30:00
LB0051,EMP013,Personal Leave,3,3,0,2026,2026-09-03T09:00:00
LB0052,EMP013,Parental Leave,15,13,2,2026,2026-09-04T13:15:00
LB0053,EMP014,Annual Leave,30,0,30,2026,2026-09-19T16:30:00
LB0054,EMP014,Sick Leave,15,1,14,2026,2026-09-14T13:45:00
LB0055,EMP014,Personal Leave,6,0,6,2026,2026-09-10T17:30:00
LB0056,EMP014,Parental Leave,20,3,17,2026,2026-09-19T16:15:00
LB0057,EMP015,Annual Leave,22,10,12,2026,2026-09-16T11:00:00
LB0058,EMP015,Sick Leave,12,8,4,2026,2026-09-12T09:30:00
LB0059,EMP015,Personal Leave,6,1,5,2026,2026-09-14T16:00:00
LB0060,EMP015,Parental Leave,30,8,22,2026,2026-09-01T10:30:00
LB0061,EMP016,Annual Leave,25,5,20,2026,2026-09-12T08:15:00
LB0062,EMP016,Sick Leave,10,9,1,2026,2026-09-22T14:00:00
LB0063,EMP016,Personal Leave,3,0,3,2026,2026-09-03T16:15:00
LB0064,EMP016,Parental Leave,20,13,7,2026,2026-09-15T13:15:00
LB0065,EMP017,Annual Leave,25,4,21,2026,2026-09-24T13:00:00
